poi_id,name,category,address,phone,latitude,longitude,source
OSM0001,Graphic Art Institute,college,,,23.7536801,90.3650819,osm_live
OSM0002,Bangladesh Eye Hospital,hospital,Satmasjid Road,,23.7517932,90.3673206,osm_live
OSM0003,State University of Bangladesh,university,,,23.75154,90.367356,osm_live
OSM0004,Four Season,restaurant,,,23.7514014,90.3679886,osm_live
OSM0007,Pizza Hut,fast_food,,,23.747443,90.3702179,osm_live
OSM0008,Star Kabab,fast_food,Road 19/A,,23.7475099,90.3702012,osm_live
OSM0009,Stamford University,university,,,23.7472743,90.3703175,osm_live
OSM0011,এইচএসবিসি,bank,,,23.7456794,90.3714114,osm_live
OSM0012,Stamford University,university,,,23.7456368,90.3714332,osm_live
OSM0013,Darul Ihsan University,university,,,23.7468402,90.3755557,osm_live
OSM0015,Gonoshastha Nagar Hospital,hospital,"14/E, Road 6",+8801716-838078,23.7434833,90.3825849,osm_live
OSM0016,সোনালী ব্যাংক লিমিটেড,bank,Road 6,,23.7438407,90.3833458,osm_live
OSM0017,Dhanmondi Girls School,school,,,23.7489744,90.3773738,osm_live
OSM0018,Sobhanbagh Mosque,place_of_worship,,,23.7542062,90.3762775,osm_live
OSM0019,Star Kabab Hotel & Restaurant,restaurant,,,23.7393534,90.38101,osm_live
OSM0020,science lab police box,police,"H#3, Dhanmondi Road1",,23.7388054,90.3832282,osm_live
OSM0021,Metro shopping mall,marketplace,,,23.7523575,90.3772723,osm_live
OSM0023,Goethe Institut Bangladesh,community_centre,"House No10, Road 9, Dhanmondi Residential Area,",+880 9638-038888,23.7465386,90.3796889,osm_live
OSM0025,Bachelor Point,cafe,,,23.7418435,90.3744178,osm_live
OSM0026,Iranian International School,school,,,23.7395864,90.3786179,osm_live
OSM0028,হংকং এন্ড সাংহাই ব্যাংকিং কর্পোরেশন (এইচএসবিসি),bank,,,23.7548919,90.373186,osm_live
OSM0029,Bank Alfalah,supermarket,Road 7A,,23.7441328,90.3732614,osm_live
OSM0030,Bangladesh Medical College Hospital,hospital,,,23.7501949,90.3697475,osm_live
OSM0031,ইবনে সিনা হাসপাতাল,hospital,,,23.7515946,90.368919,osm_live
OSM0033,Shihab Departmental Store,convenience,,,23.7406014,90.3783271,osm_live
OSM0034,Fortuna Fried Chicken,fast_food,"75, Road #5, Shatmasjid Road, Dhanmondi",,23.7418201,90.3738082,osm_live
OSM0036,Sunami Restaurant,fast_food,,,23.7389955,90.3747981,osm_live
OSM0037,Walton Plaza,electronics,,,23.7387934,90.3742651,osm_live
OSM0041,Meena Bazar head office,supermarket,"44, ধানমণ্ডি ১৬",,23.7531652,90.3696585,osm_live
OSM0042,Coffee World,cafe,,,23.753283,90.3695136,osm_live
OSM0043,Bar-B-Q Tonite,restaurant,,,23.7536736,90.3705514,osm_live
OSM0044,Oxford International School,school,,,23.7538867,90.3707311,osm_live
OSM0045,Patam Restaurant,fast_food,,,23.7388066,90.3760142,osm_live
OSM0046,ব্র্যাক ব্যাংক,atm,,,23.7435824,90.3734579,osm_live
OSM0047,Cream and Fudge Factory,ice_cream,,,23.7476925,90.3705704,osm_live
OSM0048,স্ট্যান্ডার্ড চার্টার্ড ব্যাংক এটিএম,atm,,,23.7548131,90.3758909,osm_live
OSM0049,Punizz Kitchen,cafe,"4/2, Road 4",,23.7419967,90.3832754,osm_live
OSM0050,Paschim Pantha Path jame Masjid,place_of_worship,,,23.752694,90.3830666,osm_live
OSM0051,Mutual Trust Bank Ltd.,bank,,,23.7441258,90.3730273,osm_live
OSM0052,American Burger,restaurant,Satmasjid Road,,23.7405519,90.3749874,osm_live
OSM0053,প্রিমিয়ার ব্যাংক,bank,75,,23.7417694,90.3738999,osm_live
OSM0054,DHL,post_office,"74, 5/A",,23.7417021,90.3740378,osm_live
OSM0055,Ulta Voot,restaurant,Dhanmondi Road 2,,23.738869,90.3781474,osm_live
OSM0056,Longla Panjabi,clothes,,,23.7385799,90.3838071,osm_live
OSM0057,Al aksa mosque,place_of_worship,"house#61, Road 4A",,23.7400928,90.3738065,osm_live
OSM0058,Dhopapara Masjid,place_of_worship,,,23.7410861,90.3724377,osm_live
OSM0059,Tiw Mazar Mosque,place_of_worship,Teenmajar road,,23.7379901,90.3679748,osm_live
OSM0061,ডাচ-বাংলা ব্যাংক লিমিটেড এটিএম,atm,,,23.7512712,90.3787772,osm_live
OSM0062,শাহজালাল ইসলামী ব্যাংক লিমিটেড,bank,,,23.7519205,90.379754,osm_live
OSM0063,Bangladesh Film Institute,cinema,,,23.750199,90.3794226,osm_live
OSM0064,উত্তরা ব্যাংক লিমিটেড,bank,,,23.7484731,90.3801384,osm_live
OSM0065,দ্যা সিটি ব্যাংক,atm,,,23.7547435,90.3759433,osm_live
OSM0066,Tehari Ghor,restaurant,,,23.7537236,90.3764151,osm_live
OSM0067,দ্যা সিটি ব্যাংক,bank,,,23.7529556,90.3706968,osm_live
OSM0068,বেঙ্গল ক্যাফে,cafe,"Bengal Shilpalay, House 42, সড়ক ২৭ (নতুন ১৬)",,23.7533849,90.3698115,osm_live
