poi_id,name,category,address,phone,latitude,longitude,source
P001,Star Kabab & Restaurant,restaurant,"Road 27, Dhanmondi",01711223344,23.7461,90.3742,field_survey
P003,Dhanmondi Eye Hospital,hospital,"House 4, Road 8/A, Dhanmondi Residential Area",02-9661234,23.7448,90.3735,field_survey
P005,BRAC Bank Dhanmondi Branch,bank,"Road No. 5, Dhanmondi",01555112233,23.7466,90.376,field_survey
P007,Anwar Restaurant,restaurant,"Satmasjid Road, Dhanmondi",01822334455,23.7502,90.3711,field_survey
P008,City Hospital Pharmacy,restaurant,"Road 2, Dhanmondi",,23.7439,90.3699,field_survey
P009,Dhanmondi Model School,bank,"Road 14A, Dhanmondi",02-8123456,23.7471,90.3728,field_survey
P010,Notun Bazar Mosque,mosque,"Road 15, Dhanmondi",,23.748,90.3702,field_survey
P011,Green View Pharmacy,pharmacy,"Road No 9, Dhanmondi",01911998877,23.7452,90.3719,field_survey
P012,Dutch Bangla Bank ATM,bank,,01777889900,23.749,90.3745,field_survey
P013,Lake View Restaurant,restaurant,"Dhanmondi Lake Road, Dhanmondi",,23.7431,90.3752,field_survey
P014,Popular Diagnostic Centre,hospital,"House 16, Road 2, Dhanmondi",02-9661111,23.744,90.3697,field_survey
P016,Dhaka College Bookstore,shop,"Mirpur Road, Dhanmondi",,23.7395,90.3833,field_survey
P017,7 Eleven Convenience Store,shop,"Road 11, Dhanmondi Residential Area",01699887766,23.7458,90.3716,field_survey
P018,Al-Amin Mosque,mosque,"Road 32, Dhanmondi",,23.7508,90.3695,field_survey
P019,Cafe Mango,restaurant,,01633445566,23.7465,90.3739,field_survey
P020,City Bank Dhanmondi,bank,"Satmasjid Road, Dhanmondi",02-9556677,23.7499,90.3708,field_survey
P021,Square Hospitals Ltd,hospital,"18/F, West Panthapath, Dhanmondi",02-8159457,23.7524,90.3835,field_survey
P022,Ibn Sina Hospital,hospital,"House 48, Road 9/A, Dhanmondi",02-9661301,23.7455,90.3722,field_survey
P024,Khan Grocery Shop,shop,"Road 6, Dhanmondi",,23.7469,90.3757,field_survey
P025,Dhanmondi Girls School,school,"Road 13, Dhanmondi",02-8114455,23.7473,90.373,field_survey
P026,New Bazar Fish Market,shop,"Road 2/A, Dhanmondi",,23.7443,90.3701,field_survey
P027,Karim Restaurant,school,"Road 7, Dhanmondi",01844556677,23.746,90.3725,field_survey
P028,Prime Bank Dhanmondi Branch,bank,"Road 3, Dhanmondi",02-9552211,23.7446,90.3705,field_survey
P029,Dhanmondi Central Mosque,mosque,"Satmasjid Road, Dhanmondi",,23.7503,90.3712,field_survey
P030,Ali Medical Store,pharmacy,,01722113344,23.7457,90.3721,field_survey
P031,Sultan's Dine,restaurant,"Road 27, Dhanmondi Residential Area",01988776655,23.746,90.3741,field_survey
P032,Green Dhanmondi Housing Society Office,shop,"Road 4, Dhanmondi",,23.7444,90.3703,field_survey
P033,Eastern Plus Shopping Complex,shop,"New Elephant Road, Dhanmondi",02-9887766,23.7415,90.3813,field_survey
P034,Dhanmondi Government Girls High School,school,"Road 43, Dhanmondi",,23.7515,90.3688,field_survey
P035,Rupali Bank Dhanmondi,bank,"Road. 5, Dhanmondi",02-9663322,23.7466,90.3759,field_survey
P036,Choto Moni Restaurant,restaurant,"Road 8, Dhanmondi",,23.7451,90.3724,field_survey
P037,Al Haramain Mosque,mosque,"Road 12, Dhanmondi Residential Area",,23.7476,90.3733,field_survey
P038,Central Pharmacy,hospital,"Road 10, Dhanmondi",01655443322,23.7454,90.3717,field_survey
P039,Comfort Shoes,shop,"Satmasjid Road, Dhanmondi",,23.7501,90.371,field_survey
P040,Dhanmondi Diagnostic Center,hospital,"House 22, Road 6/A, Dhanmondi",02-9661500,23.7468,90.3756,field_survey
