poi_id,name,original_address,standardized_address
P002,Star Kabab,"Rd. 27, Dhanmondi","Road. 27, Dhanmondi"
P003,Dhanmondi Eye Hospital,"House 4, Road 8/A, Dhanmondi R/A","House 4, Road 8/A, Dhanmondi Residential Area"
P004,Dhanmondi Eye Hospital Ltd,"House 4, Rd 8/A, Dhanmondi","House 4, Road 8/A, Dhanmondi"
P006,BRAC Bank - Dhanmondi,"Road 5, Dhanmondi R/A","Road 5, Dhanmondi Residential Area"
P015,Popular Diagnostic Centre Dhanmondi,"House-16, Rd. 2, Dhanmondi","House 16, Road. 2, Dhanmondi"
P017,7 Eleven Convenience Store,"Road 11, Dhanmondi R/A","Road 11, Dhanmondi Residential Area"
P020,City Bank Dhanmondi,"Satmasjid Rd, Dhanmondi","Satmasjid Road, Dhanmondi"
P023,Ibn Sina Hospital Dhanmondi,"House-48, Rd 9/A, Dhanmondi R/A","House 48, Road 9/A, Dhanmondi Residential Area"
P031,Sultan's Dine,"Road 27, Dhanmondi R/A","Road 27, Dhanmondi Residential Area"
P035,Rupali Bank Dhanmondi,"Rd. 5, Dhanmondi","Road. 5, Dhanmondi"
P037,Al Haramain Mosque,"Road 12, Dhanmondi R/A","Road 12, Dhanmondi Residential Area"
