poi_id,name,missing_fields
OSM0001,Graphic Art Institute,"address, phone"
OSM0002,Bangladesh Eye Hospital,phone
OSM0003,State University of Bangladesh,"address, phone"
OSM0004,Four Season,"address, phone"
OSM0007,Pizza Hut,"address, phone"
OSM0008,Star Kabab,phone
OSM0009,Stamford University,"address, phone"
OSM0011,এইচএসবিসি,"address, phone"
OSM0012,Stamford University,"address, phone"
OSM0013,Darul Ihsan University,"address, phone"
OSM0016,সোনালী ব্যাংক লিমিটেড,phone
OSM0017,Dhanmondi Girls School,"address, phone"
OSM0018,Sobhanbagh Mosque,"address, phone"
OSM0019,Star Kabab Hotel & Restaurant,"address, phone"
OSM0020,science lab police box,phone
OSM0021,Metro shopping mall,"address, phone"
OSM0025,Bachelor Point,"address, phone"
OSM0026,Iranian International School,"address, phone"
OSM0028,হংকং এন্ড সাংহাই ব্যাংকিং কর্পোরেশন (এইচএসবিসি),"address, phone"
OSM0029,Bank Alfalah,phone
OSM0030,Bangladesh Medical College Hospital,"address, phone"
OSM0031,ইবনে সিনা হাসপাতাল,"address, phone"
OSM0033,Shihab Departmental Store,"address, phone"
OSM0034,Fortuna Fried Chicken,phone
OSM0036,Sunami Restaurant,"address, phone"
OSM0037,Walton Plaza,"address, phone"
OSM0041,Meena Bazar head office,phone
OSM0042,Coffee World,"address, phone"
OSM0043,Bar-B-Q Tonite,"address, phone"
OSM0044,Oxford International School,"address, phone"
OSM0045,Patam Restaurant,"address, phone"
OSM0046,ব্র্যাক ব্যাংক,"address, phone"
OSM0047,Cream and Fudge Factory,"address, phone"
OSM0048,স্ট্যান্ডার্ড চার্টার্ড ব্যাংক এটিএম,"address, phone"
OSM0049,Punizz Kitchen,phone
OSM0050,Paschim Pantha Path jame Masjid,"address, phone"
OSM0051,Mutual Trust Bank Ltd.,"address, phone"
OSM0052,American Burger,phone
OSM0053,প্রিমিয়ার ব্যাংক,phone
OSM0054,DHL,phone
OSM0055,Ulta Voot,phone
OSM0056,Longla Panjabi,"address, phone"
OSM0057,Al aksa mosque,phone
OSM0058,Dhopapara Masjid,"address, phone"
OSM0059,Tiw Mazar Mosque,phone
OSM0060,আইএফআইসি ব্যাংক লিমিটেড এটিএম,"address, phone"
OSM0061,ডাচ-বাংলা ব্যাংক লিমিটেড এটিএম,"address, phone"
OSM0062,শাহজালাল ইসলামী ব্যাংক লিমিটেড,"address, phone"
OSM0063,Bangladesh Film Institute,"address, phone"
OSM0064,উত্তরা ব্যাংক লিমিটেড,"address, phone"
OSM0065,দ্যা সিটি ব্যাংক,"address, phone"
OSM0066,Tehari Ghor,"address, phone"
OSM0067,দ্যা সিটি ব্যাংক,"address, phone"
OSM0068,বেঙ্গল ক্যাফে,phone
OSM0069,সাউথইস্ট ব্যাংক,phone
OSM0070,Uttora Bank LImited,"address, phone"
OSM0071,Eastern University,"address, phone"
OSM0072,Al Hera Jame Mosque,"address, phone"
OSM0073,Bitul Aman Jam Mosque,"address, phone"
OSM0074,BM Laboratory School,"address, phone"
OSM0075,Darling Point Restaurant,"address, phone"
OSM0076,ডাচ-বাংলা ব্যাংক,"address, phone"
OSM0077,জনতা ব্যাংক,"address, phone"
OSM0078,সোনালী ব্যাংক লিমিটেড,"address, phone"
OSM0079,Baitun Nur Mosjid,"address, phone"
OSM0080,Colony Mosque,"address, phone"
OSM0081,RFL Best Buy Jigatala,"address, phone"
OSM0082,Jahur Ali Manshion,"address, phone"
OSM0083,B Type Mosque,"address, phone"
OSM0084,B.M Laboratory School,"address, phone"
OSM0085,Baitul Moharram Jarye Mosque,"address, phone"
OSM0086,Ciam School,"address, phone"
OSM0087,Europa International School,"address, phone"
OSM0088,MSF Occupational Health Clinic,"address, phone"
OSM0089,Ayesha Academy School,"address, phone"
OSM0090,Tannery Block Jame Mosque,"address, phone"
OSM0091,Tahfizul Koran Hafezia Madrassa,"address, phone"
OSM0092,Holy Flower Model College,"address, phone"
OSM0093,Mollick preparatory school / Singing Academy,"address, phone"
OSM0094,Salec garden Bazar,"address, phone"
OSM0095,Amin Medical Center,"address, phone"
OSM0096,Community police post (DMP),"address, phone"
OSM0097,jigatola Gabtola mosjid,"address, phone"
OSM0098,CBT Police Fari,"address, phone"
OSM0099,Moneshwar Government Primary School,"address, phone"
OSM0100,Sufia Zinan International School,"address, phone"
OSM0101,Sher-e-Bangla Road Jame Masjid,"address, phone"
OSM0102,Sobuz Shakha Kindergarten,"address, phone"
OSM0103,Masjide Baitul Mamur,"address, phone"
OSM0104,Dominus Pizza,"address, phone"
OSM0105,Eastern University,phone
OSM0107,Ibn Sina Consultation & Diagonastic Center,phone
OSM0108,Bata Showroom,"address, phone"
OSM0109,Japan Bangladesh Friendship Hospital,"address, phone"
OSM0110,Baburchi,"address, phone"
OSM0111,Hi Fi Fashion Gallery,"address, phone"
OSM0112,Korai Gost,"address, phone"
OSM0113,"University Of Liberal Arts Bangladesh(ULAB), Campus A",phone
OSM0118,Teacher's Training College,"address, phone"
OSM0119,Dhanmondi Pharmacy,"address, phone"
OSM0123,Bhuiya Adorsho High School,"address, phone"
OSM0124,Eran Laboratory School,"address, phone"
OSM0125,Future Generation International School,"address, phone"
OSM0126,Ikra International School and College,"address, phone"
OSM0127,Tennary Mor Shahi Masjid,"address, phone"
OSM0128,সোনালী ব্যাংক,"address, phone"
OSM0129,Tabin School,"address, phone"
OSM0130,Abacus,"address, phone"
OSM0131,Bangladesh Research Institute for Integrated Medicine,"address, phone"
OSM0132,Broccolia,"address, phone"
OSM0133,Community Development Library,"address, phone"
OSM0134,ডাচ-বাংলা ব্যাংক লিমিটেড,"address, phone"
OSM0135,এক্সিম ব্যাংক,"address, phone"
OSM0136,ইস্টার্ন ব্যাংক,"address, phone"
OSM0137,মিডল্যান্ড ব্যাংক,"address, phone"
OSM0138,Naz-E-Noor Hospital,"address, phone"
OSM0139,Olympia Palace,"address, phone"
OSM0140,স্ট্যান্ডার্ড চার্টার্ড ব্যাংক,"address, phone"
OSM0141,Darul Guran Academy,"address, phone"
OSM0142,Donbash Jama Mosque,"address, phone"
OSM0143,Modhu Bazar Jama Mosque,"address, phone"
OSM0144,Al-Madina Jama Mosque,"address, phone"
OSM0145,Hatembag Jame Mosque,phone
OSM0146,Holy Rose School and College,"address, phone"
OSM0147,জনতা ব্যাংক,"address, phone"
OSM0148,Lotas National School,"address, phone"
OSM0149,Mohammadia Aliya Madrasha,"address, phone"
OSM0150,Razemosare National Primary School,"address, phone"
OSM0151,Sinnomul Sonkary Prathomik Biddaloy School,"address, phone"
OSM0152,West Dhanmondi Ideal School,"address, phone"
OSM0154,Al Hossain Girls High School,"address, phone"
OSM0155,West Dhanmondi Yusuf High School,"address, phone"
OSM0156,Zigatola Model Government Primary School,"address, phone"
OSM0157,Mosjidul Takwa,"address, phone"
OSM0158,Jigatola Community Center,"address, phone"
OSM0159,Omar Faruk Ideal Academy,"address, phone"
OSM0160,Sowatowgor Shahi Mosque,"address, phone"
OSM0162,Royal Tannery Mosque,"address, phone"
OSM0163,Mollick Preparatory School,"address, phone"
OSM0164,Safs London School and College,"address, phone"
OSM0165,School of Development (SODA),"address, phone"
OSM0166,University of Development (UODA),"address, phone"
OSM0167,প্রাইম ব্যাংক,"address, phone"
OSM0173,Baskin Robbins,"address, phone"
OSM0174,H2O Longe,"address, phone"
OSM0175,Cocktails,phone
OSM0176,ইসলামী ব্যাংক বাংলাদেশ লিমিটেড এটিএম,phone
OSM0177,Shampan,"address, phone"
